     Source_name       RA       Dec RegType Major Minor Theta  Color reg_qual      RA_Dec_name        Ref l_CRate CRate e_CRate
---------------- -------- --------- ------- ----- ----- ----- ------ -------- ---------------- ---------- ------- ----- -------
  C0512-6702-WPB 78.20180 -67.03661 ellipse 152.2 123.4    15   blue     good             None                                 
   SNR_B0513-692 78.29821 -69.19920 ellipse 149.5 102.5    55   blue     good       J0513-6912      MFT85         0.236  0.0154
      J0513-6731 78.37633 -67.53205 ellipse  77.8  58.9   150   blue     poor       J0513-6731        B17         0.044  0.0096
      J0513-6724 78.41667 -67.40556 ellipse  75.0  75.0     0   blue      bad       J0513-6724       Ma19          0.05  0.0059
      J0514-6840 78.56667 -68.67278 ellipse 110.0 110.0     0   blue     good       J0514-6840      MHK14          0.16   0.014
      J0517-6759 79.29454 -67.98602 ellipse 165.3  94.2   120   blue     good       J0517-6759      MHK14         0.116   0.014
      J0517-6757 79.45725 -67.96494 ellipse  62.0  53.5     0   blue     poor       J0517-6757        Y21       <  0.01        
        SNR_N120 79.68068 -69.65149 ellipse  61.2  41.8    90   blue     good       J0518-6939       MC73         0.442   0.018
   SNR_B0519-690 79.89583 -69.03583 ellipse  16.8  16.8     0   blue     good       J0519-6902      LHG81          15.1     0.1
   SNR_B0520-694 79.93715 -69.43209 ellipse  75.4  72.4   140   blue     good       J0519-6926      MFD83          1.28    0.03
J052126.5-685245 80.36042 -68.87917  circle 156.0 156.0     0 yellow  Unknown J052126.5-685245        Z24         0.084  0.0141
J052136.6-670741 80.40250 -67.12806  circle 198.0 198.0     0 yellow  Unknown J052136.6-670741        Z24         0.031  0.0137
      J0521-6543 80.41151 -65.71889 ellipse  92.2  77.5    90   blue       ok       J0521-6543      BGS06         0.058  0.0109
J052148.7-693649 80.45292 -69.61361  circle 156.0 156.0     0 yellow  Unknown J052148.7-693649        Z24         0.136    0.02
      J0522-6740 80.63440 -67.68312 ellipse 190.8 151.4    90   blue     good       J0522-6740        Y21         0.053  0.0119
      J0522-6543 80.72194 -65.71970 ellipse  92.2  86.0    90   blue     good       J0522-6543        B23       <  0.01        
      SNR_in_N44 80.77979 -67.88667 ellipse 127.5 127.5    90   blue     good       J0523-6753      CMG93         0.414   0.019
J052330.7-680400 80.87792 -68.06667  circle 117.0 117.0     0 yellow  Unknown J052330.7-680400        Z24         0.041  0.0102
    SNR_DEML175a 81.08413 -66.40639 ellipse 120.0 120.0     0   blue     good       J0524-6624      MFT85         0.038   0.006
       SNR_N132D 81.25828 -69.64103 ellipse  69.9  55.6   120   blue     good       J0525-6938       WM66         130.0     1.0
J052502.7-662125 81.26125 -66.35694  circle 153.0 153.0     0 yellow  Unknown J052502.7-662125        Z24         0.119   0.011
        SNR_N49B 81.34199 -65.99649 ellipse  79.0  77.5    90   blue       ok       J0525-6559       MC73          16.1     0.1
         SNR_N49 81.50109 -66.08225 ellipse  42.4  40.0   110   blue     good       J0526-6605       WM66          25.0     0.1
   SNR_B0528-692 81.91592 -69.20206 ellipse  86.0  62.0     0   blue     good       J0527-6912      MFD84         0.447   0.016
      J0527-7134 81.95557 -71.56725 ellipse 102.6  76.1    70   blue     good       J0527-7134        B17         0.069  0.0092
     SNR_DEML204 81.97500 -65.82722 ellipse 141.0 141.0     0   blue     good       J0527-6550      LHG81         0.475   0.013
      J0527-7104 82.01394 -71.07422 ellipse 186.2 112.8    70   blue     good       J0527-7104      KSP13         0.127   0.015
      J0527-6714 82.03292 -67.22861  circle 207.0 207.0     0    red  Unknown       J0527-6714       TM84         0.037  0.0153
      J0528-6727 82.04279 -67.45019 ellipse 142.3 114.2   130   blue     good       J0528-6727      MHB12          0.18   0.015
      J0528-7017 82.19445 -70.30330 ellipse 203.6 165.9    86   blue     good       J0528-7018        Y21         0.011  0.0331
J052849.7-671913 82.20708 -67.32028  circle 114.0 114.0     0 yellow  Unknown J052849.7-671913        Z24         0.037  0.0082
      J0529-7004 82.27569 -70.07758 ellipse 110.7  96.0     0   blue     good       J0529-7004        Y21          0.15   0.026
      J0529-6653 82.46250 -66.89111 ellipse  72.5  72.5   140   blue     poor       J0529-6653     BFC12a         0.395   0.011
      J0530-7008 82.67297 -70.12373 ellipse 161.2 104.6     0   blue     good       J0530-7008      DFB12         0.348    0.03
        SNR_N206 82.98333 -71.00528 ellipse  90.0  90.0    90   blue     good       J0531-7100       MC73          1.14    0.02
J053224.5-655411 83.10208 -65.90306  circle  84.0  84.0     0 yellow  Unknown J053224.5-655411        Z24         0.038   0.005
   SNR_B0532-675 83.12500 -67.52548 ellipse 142.5 142.5   145   blue     poor       J0532-6732      MFT85          1.17    0.02
      J0533-7202 83.45776 -72.04370 ellipse  88.3  66.6     0   blue     good       J0533-7202      BFC13         0.259   0.014
   SNR_B0534-699 83.50833 -69.91750 ellipse  67.5  67.5    35   blue     good       J0534-6955      LHG81          3.36    0.04
      J0534-6720 83.52292 -67.34667 ellipse 146.5 144.0     0   blue      bad       J0534-6720        B23         0.099  0.0127
     SNR_DEML238 83.57338 -70.55711 ellipse  89.0  79.2    33   blue     good       J0534-7033      LHG81         0.712    0.02
      J0534-6700 83.70292 -67.00028 ellipse  94.0  89.5     0   blue      bad       J0534-6700        B23         0.017  0.0044
       SNR_1987A 83.86667 -69.26972 ellipse   0.8   0.8     0   blue     good       J0535-6916 HISTORICAL          6.61    0.05
        SNR_N63A 83.92494 -66.03455 ellipse  20.0  20.0     0   blue     good       J0535-6602       WM66          83.3     0.1
   SNR_Honeycomb 83.94596 -69.30202 ellipse  45.5  25.3    80   blue       ok       J0535-6918      CDS95         0.129   0.017
     SNR_DEML241 84.01794 -67.57616 ellipse 111.0  80.8   110   blue     good       J0536-6735      MFT85          1.37    0.02
     SNR_DEML249 84.02560 -70.64271 ellipse 109.0  70.8   110   blue     good       J0536-7039      LHG81           0.7   0.019
      J0536-6913 84.07083 -69.22444 ellipse  33.0  33.0    90   blue      bad       J0536-6913     KSB15a         0.122    0.01
      J0537-6628 84.36917 -66.46019 ellipse 118.9  94.6   150   blue     good       J0537-6628      KPS10         0.131   0.006
       SNR_N157B 84.44167 -69.17444 ellipse  60.0  60.0     0   blue     good       J0537-6910       MC73          2.86    0.03
      J0538-6921 84.55375 -69.36139 ellipse  84.5  84.5     0   blue       ok       J0538-6921        B17         0.383   0.024
      J0538-7004 84.69272 -70.07121 ellipse  34.5  34.4     0   blue       ok       J0538-7004        Y21       <  0.01        
      J0539-7001 84.90083 -70.02889 ellipse 105.0  60.0    45   blue     poor       J0539-7001       HP99         0.308   0.014
     SNR_in_N159 84.99209 -69.73585 ellipse  62.0  48.8     0   blue     good       J0540-6944      CKS97         0.946   0.018
   SNR_0540-6920 85.04792 -69.33194 ellipse  36.0  36.0     0   blue     poor       J0540-6920       MC73          10.8     0.1
      J0541-6659 85.39608 -66.98577 ellipse  73.6  73.6     0   blue     good       J0541-6659      GSH12         0.345    0.01
      J0542-6852 85.52458 -68.87056 ellipse 125.5 109.0    75   blue     poor       J0542-6852        B23         0.075  0.0158
      J0542-7104 85.65792 -71.07044 ellipse 150.0 105.0     0   blue     good       J0542-7104        Y21         0.057  0.0075
      J0543-6928 85.77625 -69.47833 ellipse  78.5  52.0   125   blue     poor       J0543-6928        B23         0.036  0.0118
     SNR_DEML299 85.79018 -68.95797 ellipse 178.0 129.0   110   blue     good       J0543-6858      LHG81         0.709    0.02
      J0543-6923 85.81875 -69.39083 ellipse 114.0 106.5     0   blue     poor       J0543-6923        B23       <  0.01        
      J0543-6906 85.85500 -69.12194 ellipse 221.5 177.0     0   blue     poor       J0543-6906        B23         0.397   0.025
      J0543-6624 85.95250 -66.39750  circle 168.0 168.0     0    red  Unknown       J0543-6624        Z24         0.105   0.007
    SNR_DEML316B 86.74941 -69.71405 ellipse 107.5  88.0    13   blue     good       J0547-6943       MC73          0.62   0.014
    SNR_DEML316A 86.84638 -69.69487 ellipse  71.7  59.3    30   blue     good       J0547-6941       MC73          0.63   0.013
   SNR_B0548-704 86.95189 -70.41408 ellipse  58.9  57.3    90   blue     good       J0547-7025      MFD83           1.7    0.02
      J0548-6941 87.20458 -69.68842 ellipse  70.5  48.6    23   blue     good       J0548-6941        Y21       <  0.01        
      J0549-6633 87.29908 -66.56270 ellipse 267.3 182.8     0   blue     good       J0549-6633        Y21       <  0.01        
      J0549-6618 87.37542 -66.30442 ellipse 135.0  90.0   115   blue     good       J0549-6618        Y21       <  0.01        
J054949.7-700145 87.45708 -70.02917 ellipse 156.0 102.0   160 yellow  Unknown J054949.7-700145        Z24         0.058  0.0082
   SNR_0550-6823 87.62398 -68.39235 ellipse 167.3 161.2    90   blue     good       J0550-6823     BFC12b         0.494   0.012
J061438.1-725112 93.65875 -72.85333  circle 108.0 108.0     0 yellow  Unknown J061438.1-725112        Z24         0.276   0.012
      J0624-6948 96.05625 -69.80861  circle 135.0 135.0     0  green  Unknown       J0624-6948        F22         0.037  0.0073
