   Field  Tile         RA        Dec Size
  LMC_c36  T10  77.595275  -69.64703 0.67
  LMC_c36  T11  77.575366 -69.097074 0.67
  LMC_c36  T12  77.556433 -68.547117 0.67
  LMC_c36  T13  79.238414 -70.182405 0.67
  LMC_c36  T14  79.175602 -69.632828 0.67
  LMC_c36  T15  79.115954  -69.08323 0.67
  LMC_c36  T16  79.059227 -68.533612 0.67
  LMC_c37  T01  75.339239 -67.104824 0.67
  LMC_c37  T02  75.386083 -66.555133 0.67
  LMC_c37  T03  75.430898 -66.005429 0.67
  LMC_c37  T04  75.473822 -65.455712 0.67
  LMC_c37  T05  76.752838 -67.117252 0.67
  LMC_c37  T06  76.768469 -66.567286 0.67
  LMC_c37  T07  76.783422 -66.017319 0.67
  LMC_c37  T08  76.797744  -65.46735 0.67
  LMC_c37  T09  78.167162 -67.117252 0.67
  LMC_c37  T10  78.151531 -66.567286 0.67
  LMC_c37  T11  78.136578 -66.017319 0.67
  LMC_c37  T12  78.122256  -65.46735 0.67
  LMC_c37  T13  79.580761 -67.104824 0.67
  LMC_c37  T14  79.533917 -66.555133 0.67
  LMC_c37  T15  79.489102 -66.005429 0.67
  LMC_c37  T16  79.446178 -65.455712 0.67
  LMC_c38  T01  75.027575 -71.982484 0.67
  LMC_c38  T02   75.10368 -71.433003 0.67
  LMC_c38  T03  75.175561 -70.883493 0.67
  LMC_c38  T04   75.24357 -70.333957 0.67
  LMC_c38  T05  76.805623 -71.998645 0.67
  LMC_c38  T06  76.831035 -71.448703 0.67
  LMC_c38  T07  76.855033 -70.898758 0.67
  LMC_c38  T08  76.877738 -70.348809 0.67
  LMC_c38  T09  78.585211 -71.998645 0.67
  LMC_c38  T10  78.559799 -71.448703 0.67
  LMC_c38  T11    78.5358 -70.898758 0.67
  LMC_c38  T12  78.513096 -70.348809 0.67
  LMC_c38  T13  80.363259 -71.982484 0.67
  LMC_c38  T14  80.287153 -71.433003 0.67
  LMC_c38  T15  80.215273 -70.883493 0.67
  LMC_c38  T16  80.147264 -70.333957 0.67
  LMC_c39  T01  77.839173 -68.751224 0.67
  LMC_c39  T02  77.893708 -68.201588 0.67
  LMC_c39  T03  77.945687 -67.651935 0.67
  LMC_c39  T04  77.995297 -67.102266 0.67
  LMC_c39  T05   79.35664 -68.764728 0.67
  LMC_c39  T06  79.374841 -68.214769 0.67
  LMC_c39  T07  79.392187 -67.664807 0.67
